url,ebolaOccurances,publishDate,title
http://www.foxnews.com/world/2014/10/22/soldier-shot-at-war-memorial-near-canadian-parliament/,0,2014-10-22T10:24-04:00,"[u'Canadian soldier, gunman killed in attack on Ottawa capital complex "
http://www.foxnews.com/slideshow/entertainment/2014/10/22/playboy-celebrity-cover-girls-stephanie/,0,,[u'Celebrity Playboy cover girls 
http://www.foxnews.com/politics/2014/10/01/mom-marine-held-in-mexico-pleads-with-lawmakers-as-attorney-says-release-could/?intcmp=latestnews,0,2014-10-01T10:53-04:00,"[u'Mom of Marine held in Mexico pleads with lawmakers, as attorney says release could come soon "
http://www.foxnews.com/leisure/2014/10/22/kansas-city-royals-fan-ready-to-trade-classic-mustang-for-world-series-tickets/,0,2014-10-22T13:49-04:00,[u'Kansas City Royals fan ready to trade classic Mustang for World Series tickets 
http://www.foxnews.com/entertainment/2014/10/22/kirk-cameron-reprises-growing-pains-rolefor-60-seconds/,0,2014-10-22T12:23-04:00,"[u""Kirk Cameron reprises 'Growing Pains' role...for 60 seconds "
http://www.foxnews.com/health/2014/10/22/texas-doctors-remove-basketball-sized-tumor-from-7-year-olds-pelvis/,1,2014-10-22T05:00-04:00,[u'Texas docs remove basketball-sized tumor from 7-year-old\u2019s pelvis to save her life 
http://www.foxnews.com/entertainment/2014/10/22/renee-zellweger-perhaps-look-different-who-doesnt-as-get-older/,0,2014-10-22T09:09-04:00,"[u""Renee Zellweger: 'Perhaps I look different -- who doesn't as they get older?!' "
http://www.foxnews.com/us/2014/10/22/woman-sets-boyfriend-on-fire-after-night-drinking-police-say/?intcmp=latestnews,1,2014-10-22T08:58-04:00,"[u'Florida woman sets boyfriend on fire using nail polish remover, cops say "
http://www.foxnews.com/tech/2014/10/22/us-government-probes-medical-devices-for-possible-cyber-flaws/,1,2014-10-22T10:33-04:00,[u'US government probes medical devices for possible cyber flaws 
http://www.foxnews.com/tech/2014/10/22/apple-acknowledges-icloud-hacking-in-china-but-says-its-servers-are-safe/,1,2014-10-22T11:02-04:00,"[u'Apple acknowledges iCloud hacking in China, but says its servers are safe "
http://www.foxnews.com/politics/2014/10/22/10000-to-watch-grass-grow-coburn-annual-report-details-wasteful-govt-spending/?intcmp=latestnews,0,2014-10-22T00:15-04:00,"[u""$10G to watch grass grow: Coburn report details worst examples of gov't waste "
http://www.foxnews.com/us/2014/10/22/northeast-pa-schools-reopen-after-eric-frein-sightings/?intcmp=latestnews,1,2014-10-22T11:03-04:00,[u'Northeast Pa. schools reopen after Eric Frein sightings 
http://www.foxnews.com/world/2014/10/22/uk-man-who-faked-coma-to-avoid-fraud-charges-pleads-guilty-after-caught-walking/?intcmp=latestnews,0,2014-10-22T08:15-04:00,[u'British man faked coma for 2 years to avoid court 
http://www.foxnews.com/us/2014/10/22/new-york-school-fires-football-coach-after-game-brawl/?intcmp=latestnews,1,2014-10-22T08:03-04:00,[u'New York school fires football coach after game brawl 
http://www.foxnews.com/sports/2014/10/22/pumpkin-or-pigskin-more-towns-move-halloween-for-football/?intcmp=latestnews,0,2014-10-22T07:43-04:00,[u'Pumpkin or pigskin? More towns move Halloween for football 
http://www.foxnews.com/us/2014/10/22/central-pennsylvania-fire-kills-well-over-200-nonvenomous-snakes/?intcmp=latestnews,1,2014-10-22T08:38-04:00,[u'Central Pennsylvania fire kills well over 200 nonvenomous snakes 
http://www.foxnews.com/politics/2014/10/22/embarrassing-white-house-botches-dem-senate-candidates-identity-again/?intcmp=trending,0,2014-10-22T11:35-04:00,[u'\u2018Embarrassing\u2019: White House botches Dem Senate candidate\u2019s identity -- again 
http://www.foxnews.com/politics/2014/10/22/source-spike-in-isis-related-chatter-targeting-canada-leading-up-to-shooting/?intcmp=trending,0,2014-10-22T13:43-04:00,[u'Source: Spike in ISIS-related chatter targeting Canada leading up to shooting 
http://www.foxnews.com/entertainment/2014/10/21/renee-zellweger-nearly-unrecognizable-after-radical-facial-transformation/?intcmp=related,0,2014-10-21T12:41-04:00,[u'Fans: Renee Zellweger nearly unrecognizable after mysterious facial changes 
http://www.foxnews.com/slideshow/entertainment/2014/10/21/celeb-plastic-surgery-mysteries-renee-zellweger/?intcmp=related,0,,[u'Celebrity face change mysteries... 
http://www.foxnews.com/entertainment/slideshow/2014/10/21/many-faces-renee-zellweger/?intcmp=related,0,,[u'The many faces of Renee Zellweger 
http://www.foxnews.com/tech/2014/10/22/google-improves-account-security-with-special-usb-key/,1,2014-10-22T06:30-04:00,[u'Google improves account security with special USB key 
http://www.foxnews.com/tech/2014/10/17/mystery-star-wars-toy-revealed-by-x-ray-scanner/,1,2014-10-17T11:18-04:00,[u'Mystery of Star Wars toy revealed by X-ray scanner 
http://www.foxnews.com/on-air/sunday-morning-futures/2014/10/13/will-congress-vote-go-war-against-isis,0,,[u'Will Congress vote to go to war against ISIS? 
http://www.foxnews.com/on-air/the-five/article/2014/10/22/canadian-soldier-gunman-killed-shooters-storm-ottawa-capital-complex,2,,"[u'Canadian soldier, gunman killed as shooters storm Ottawa capital complex "
http://www.foxnews.com/world/2014/10/21/congolese-doctor-denis-mukwege-wins-sakharov-top-eu-human-rights-prize/,0,2014-10-21T15:30-04:00,[u'Congolese doctor Denis Mukwege wins Sakharov top EU human rights prize 
